Species,SciName,SpeciesGroup,On_Feed,FCR,FM,FO,Year,Area,DataType,Predicted,Source,Updated in,Notes,On_Feed_SD,FCR_SD,FM_SD,FO_SD,On_Feed_LL,FCR_LL,FM_LL,FO_LL,On_Feed_UL,FCR_UL,FM_UL,FO_UL
,,Catfishes,85,2,5,0,1995,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Catfishes,81,1.8,8,0,2000,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Catfishes,72,1.8,,,2000,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,73,1.8,,,2001,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,73,1.7,,,2002,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,74,1.7,,,2003,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,74,1.5,,,2004,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,73,1.6,12,0,2005,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Catfishes,75,1.6,,,2005,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,75,1.5,,,2006,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,72,1.5,8,0,2007,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Catfishes,76,1.5,,,2007,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,72,1.5,7,0,2008,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Catfishes,76,1.5,,,2008,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,77,1.5,,,2009,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,73,1.5,5,0,2010,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Catfishes,77,1.5,,,2010,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,78,1.4,,,2011,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,78,1.4,,,2012,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,75,1.4,3,0,2015,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Catfishes,80,1.3,2,0,2020,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Catfishes,80,1.4,,,2015,World,Average,1,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,82,1.3,,,2020,World,Average,1,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Catfishes,85,1.3,,,2025,World,Average,1,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
Striped catfish,Pangasius,Catfishes,100,1.51,8,1,2009,Vietnam,Reported,0,Huysveld et al. 2013 - Pangasius Vietnam,,,,,,,,,,,,,,
Striped catfish,Pangasius,Catfishes,,,9.3,0.2,2009,Vietnam,Reported,0,Phan et al. 2009,,AND 14.8% trash fish,,,,,,,,,,,,
Striped catfish,Pangasius,Catfishes,,1.311,7,0.2,2013,Vietnam,Reported,0,Henriksson et al. 2013 - SEAT Project,,Small farms with no full time labour,,,,,,,,,,,,
Striped catfish,Pangasius,Catfishes,,1.744,7,0.2,2013,Vietnam,Reported,0,Henriksson et al. 2013 - SEAT Project,,Medium privately owned farms with full time labour,,,,,,,,,,,,
Striped catfish,Pangasius,Catfishes,,1.586,7,0.2,2013,Vietnam,Reported,0,Henriksson et al. 2013 - SEAT Project,,Large corporate farms,,,,,,,,,,,,
,,Eels,90,2,65,8,1995,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Eels,92,1.8,62,6,2000,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Eels,92,1.8,,,2000,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,92,1.7,,,2001,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,94,1.6,60,5,2005,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Eels,93,1.7,,,2002,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,93,1.7,,,2003,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,95,1.6,50,5,2007,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Eels,94,1.6,,,2004,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,95,1.6,48,5,2008,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Eels,94,1.6,,,2005,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,95,1.6,,,2006,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,96,1.5,46,4,2010,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Eels,95,1.6,,,2007,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,95,1.6,,,2008,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,98,1.5,38,3,2015,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Eels,100,1.5,30,2,2020,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Eels,95,1.6,,,2009,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,96,1.6,,,2010,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,96,1.6,,,2011,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,96,1.6,,,2012,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,97,1.5,,,2015,World,Average,1,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,98,1.5,,,2020,World,Average,1,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Eels,100,1.5,,,2025,World,Average,1,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,20,2,10,0,1995,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Fed carps,37,2,9,0,2000,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Fed carps,45,1.8,8,0,2005,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Fed carps,47,1.8,3,0,2007,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Fed carps,37,2,,,2000,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,48,1.8,3,0,2008,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Fed carps,38,1.9,,,2001,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,42,1.9,,,2002,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,50,1.8,2,0,2010,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Fed carps,43,1.9,,,2003,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,44,1.9,,,2004,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,55,1.7,1,0,2015,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Fed carps,60,1.6,1,0,2020,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Fed carps,45,1.8,,,2005,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,46,1.8,,,2006,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,47,1.8,,,2007,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,48,1.8,,,2008,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,49,1.8,,,2009,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,50,1.8,,,2010,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,51,1.7,,,2011,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,52,1.7,,,2012,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,55,1.7,,,2015,World,Average,1,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,60,1.6,,,2020,World,Average,1,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,65,1.6,,,2025,World,Average,1,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Fed carps,,,8.5,,2010,China,Reported,0,Chiu et al. ,,FCR given is by region and so was not included. ,,,,,,,0,,,,30,
,,Freshwater crustaceans,35,2.5,25,2,1995,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Freshwater crustaceans,40,2.4,23,2,2000,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Freshwater crustaceans,45,2.2,20,1.5,2005,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Freshwater crustaceans,47,2.1,20,1.5,2007,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Freshwater crustaceans,48,2,18,1.5,2008,World,Average,0,Tacon et al. (2011),,,,,,,,,,,,,,
,,Freshwater crustaceans,50,2,16,1.5,2010,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Freshwater crustaceans,40,2.4,,,2000,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Freshwater crustaceans,55,1.9,12,1,2015,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Freshwater crustaceans,60,1.8,8,1,2020,World,Average,1,Tacon et al. (2011),,,,,,,,,,,,,,
,,Freshwater crustaceans,41,2.4,,,2001,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Freshwater crustaceans,42,2.3,,,2002,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Freshwater crustaceans,43,2.3,,,2003,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Freshwater crustaceans,44,2.2,,,2004,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Freshwater crustaceans,45,2.2,,,2005,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Freshwater crustaceans,46,2.1,,,2006,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
,,Freshwater crustaceans,47,2.1,,,2007,World,Average,0,"Tacon, A. G., & Metian, M. (2015). Feed matters: satisfying the feed demand of aquaculture. Reviews in Fisheries Science & Aquaculture, 23(1), 1-10.",,,,,,,,,,,,,,
