group,country,taxon,variable,measure,value
Catfishes,World,Catfishes,On_Feed,mean,76.61109677419356
Catfishes,World,Catfishes,On_Feed,sd,0.8767677879644511
Catfishes,World,Catfishes,On_Feed,ll,74.73090831583649
Catfishes,World,Catfishes,On_Feed,ul,79.58090062886882
Catfishes,World,Catfishes,FCR,mean,1.5221362647058823
Catfishes,World,Catfishes,FCR,sd,0.026245847134731135
Catfishes,World,Catfishes,FCR,ll,1.4992589036555264
Catfishes,World,Catfishes,FCR,ul,1.607206666890397
Catfishes,World,Catfishes,FM,mean,5.735429768268
Catfishes,World,Catfishes,FM,sd,0.6742588071862406
Catfishes,World,Catfishes,FM,ll,4.530642429337559
Catfishes,World,Catfishes,FM,ul,7.711432298389218
Catfishes,World,Catfishes,FO,mean,0.20038681446910525
Catfishes,World,Catfishes,FO,sd,0.1781782951435479
Catfishes,World,Catfishes,FO,ll,0.14895380423880447
Catfishes,World,Catfishes,FO,ul,5.453246534255681
Catfishes,Vietnam,Catfishes,On_Feed,mean,76.93170967741935
Catfishes,Vietnam,Catfishes,On_Feed,sd,0.9423257353628941
Catfishes,Vietnam,Catfishes,On_Feed,ll,74.60305251843442
Catfishes,Vietnam,Catfishes,On_Feed,ul,78.89339167236201
Catfishes,Vietnam,Catfishes,FCR,mean,1.5209085294117648
Catfishes,Vietnam,Catfishes,FCR,sd,0.02780139473030687
Catfishes,Vietnam,Catfishes,FCR,ll,1.4961276947352922
Catfishes,Vietnam,Catfishes,FCR,ul,1.6168426411304937
Catfishes,Vietnam,Catfishes,FM,mean,5.998087796679158
Catfishes,Vietnam,Catfishes,FM,sd,0.6502035948285149
Catfishes,Vietnam,Catfishes,FM,ll,4.222343503231598
Catfishes,Vietnam,Catfishes,FM,ul,7.307912024305519
Catfishes,Vietnam,Catfishes,FO,mean,0.2143827443488421
Catfishes,Vietnam,Catfishes,FO,sd,0.16867228034014337
Catfishes,Vietnam,Catfishes,FO,ll,0.10955688786110354
Catfishes,Vietnam,Catfishes,FO,ul,4.490988643036632
Catfishes,Viet Nam,Catfishes,On_Feed,mean,76.55429032258064
Catfishes,Viet Nam,Catfishes,On_Feed,sd,0.8077683144934813
Catfishes,Viet Nam,Catfishes,On_Feed,ll,74.93476594994195
Catfishes,Viet Nam,Catfishes,On_Feed,ul,79.26888238773202
Catfishes,Viet Nam,Catfishes,FCR,mean,1.5207692647058824
Catfishes,Viet Nam,Catfishes,FCR,sd,0.026474058356864456
Catfishes,Viet Nam,Catfishes,FCR,ll,1.4957215054174684
Catfishes,Viet Nam,Catfishes,FCR,ul,1.6094562055783326
Catfishes,Viet Nam,Catfishes,FM,mean,5.625228211559684
Catfishes,Viet Nam,Catfishes,FM,sd,0.6857650893203114
Catfishes,Viet Nam,Catfishes,FM,ll,4.598882404377621
Catfishes,Viet Nam,Catfishes,FM,ul,7.8406604742771
Catfishes,Viet Nam,Catfishes,FO,mean,0.1890109186634737
Catfishes,Viet Nam,Catfishes,FO,sd,0.17532059703838626
Catfishes,Viet Nam,Catfishes,FO,ll,0.1349140931894788
Catfishes,Viet Nam,Catfishes,FO,ul,7.593308109813775
Catfishes,United States of America,Catfishes,On_Feed,mean,76.58777419354838
Catfishes,United States of America,Catfishes,On_Feed,sd,0.8652305585478008
Catfishes,United States of America,Catfishes,On_Feed,ll,74.81560648030224
Catfishes,United States of America,Catfishes,On_Feed,ul,79.36279785100669
Catfishes,United States of America,Catfishes,FCR,mean,1.5204212941176471
Catfishes,United States of America,Catfishes,FCR,sd,0.027322415218839855
Catfishes,United States of America,Catfishes,FCR,ll,1.4976318127330215
Catfishes,United States of America,Catfishes,FCR,ul,1.6174826785432141
Catfishes,United States of America,Catfishes,FM,mean,5.605362782401579
Catfishes,United States of America,Catfishes,FM,sd,0.7076374130445847
Catfishes,United States of America,Catfishes,FM,ll,4.694010681515243
Catfishes,United States of America,Catfishes,FM,ul,7.928209170623553
Catfishes,United States of America,Catfishes,FO,mean,0.20131136993489473
Catfishes,United States of America,Catfishes,FO,sd,0.17950523257149842
Catfishes,United States of America,Catfishes,FO,ll,0.1427863169954744
Catfishes,United States of America,Catfishes,FO,ul,7.59538115012868
Catfishes,Mexico,Catfishes,On_Feed,mean,76.5523870967742
Catfishes,Mexico,Catfishes,On_Feed,sd,0.8229609971220104
Catfishes,Mexico,Catfishes,On_Feed,ll,74.94802613377921
Catfishes,Mexico,Catfishes,On_Feed,ul,79.549502026125
Catfishes,Mexico,Catfishes,FCR,mean,1.5210302647058824
Catfishes,Mexico,Catfishes,FCR,sd,0.027343670724966566
Catfishes,Mexico,Catfishes,FCR,ll,1.493431693695837
Catfishes,Mexico,Catfishes,FCR,ul,1.6148938164460844
Catfishes,Mexico,Catfishes,FM,mean,5.863223754098422
Catfishes,Mexico,Catfishes,FM,sd,0.6792548130760955
Catfishes,Mexico,Catfishes,FM,ll,4.376416277501366
Catfishes,Mexico,Catfishes,FM,ul,7.4187171751227
Catfishes,Mexico,Catfishes,FO,mean,0.315419170809
Catfishes,Mexico,Catfishes,FO,sd,0.23396545020646353
Catfishes,Mexico,Catfishes,FO,ll,0.02914175481343151
Catfishes,Mexico,Catfishes,FO,ul,5.4481386189246
Catfishes,India,Catfishes,On_Feed,mean,76.51406451612904
Catfishes,India,Catfishes,On_Feed,sd,0.8312158251933741
Catfishes,India,Catfishes,On_Feed,ll,75.0135652931579
Catfishes,India,Catfishes,On_Feed,ul,79.43737966959155
Catfishes,India,Catfishes,FCR,mean,1.5219120294117647
Catfishes,India,Catfishes,FCR,sd,0.027291952314642293
Catfishes,India,Catfishes,FCR,ll,1.4951217978842344
Catfishes,India,Catfishes,FCR,ul,1.6092871454105844
Catfishes,India,Catfishes,FM,mean,5.719450845204
Catfishes,India,Catfishes,FM,sd,0.6745007958437048
Catfishes,India,Catfishes,FM,ll,4.338155388803086
Catfishes,India,Catfishes,FM,ul,7.662029197757161
Catfishes,India,Catfishes,FO,mean,0.19588341440421053
Catfishes,India,Catfishes,FO,sd,0.17870557319318517
Catfishes,India,Catfishes,FO,ll,0.1344812308720521
Catfishes,India,Catfishes,FO,ul,5.450676958439226
Catfishes,Other countries,Catfishes,On_Feed,mean,76.56067741935483
Catfishes,Other countries,Catfishes,On_Feed,sd,0.8651737822172972
Catfishes,Other countries,Catfishes,On_Feed,ll,74.90452194551385
Catfishes,Other countries,Catfishes,On_Feed,ul,79.70161838264787
Catfishes,Other countries,Catfishes,FCR,mean,1.5219458529411765
Catfishes,Other countries,Catfishes,FCR,sd,0.02720911723542582
Catfishes,Other countries,Catfishes,FCR,ll,1.4945621514753882
Catfishes,Other countries,Catfishes,FCR,ul,1.6104510716206886
Catfishes,Other countries,Catfishes,FM,mean,5.726701470442842
Catfishes,Other countries,Catfishes,FM,sd,0.6512764111091423
Catfishes,Other countries,Catfishes,FM,ll,4.591771270105251
Catfishes,Other countries,Catfishes,FM,ul,7.65868379304024
Catfishes,Other countries,Catfishes,FO,mean,0.2000350539163158
Catfishes,Other countries,Catfishes,FO,sd,0.17309223942143206
Catfishes,Other countries,Catfishes,FO,ll,0.14124873862893508
Catfishes,Other countries,Catfishes,FO,ul,7.53908293615779
Catfishes,World,Striped catfish,On_Feed,mean,77.00845161290323
Catfishes,World,Striped catfish,On_Feed,sd,1.0048175514976585
Catfishes,World,Striped catfish,On_Feed,ll,74.53052567775524
Catfishes,World,Striped catfish,On_Feed,ul,78.97240436022234
Catfishes,World,Striped catfish,FCR,mean,1.51965
Catfishes,World,Striped catfish,FCR,sd,0.02758637911743912
Catfishes,World,Striped catfish,FCR,ll,1.4945311545791085
Catfishes,World,Striped catfish,FCR,ul,1.6167123887666823
Catfishes,World,Striped catfish,FM,mean,5.990790825030316
Catfishes,World,Striped catfish,FM,sd,0.6355809656449883
Catfishes,World,Striped catfish,FM,ll,4.1713828274821125
Catfishes,World,Striped catfish,FM,ul,7.322003491160503
Catfishes,World,Striped catfish,FO,mean,0.22007748119094736
Catfishes,World,Striped catfish,FO,sd,0.16621305545610793
Catfishes,World,Striped catfish,FO,ll,0.12408455375504807
Catfishes,World,Striped catfish,FO,ul,4.488623827417543
Catfishes,Vietnam,Striped catfish,On_Feed,mean,77.23019354838709
Catfishes,Vietnam,Striped catfish,On_Feed,sd,1.1188929978721867
Catfishes,Vietnam,Striped catfish,On_Feed,ll,74.37709072953788
Catfishes,Vietnam,Striped catfish,On_Feed,ul,78.84816559944628
Catfishes,Vietnam,Striped catfish,FCR,mean,1.52232
Catfishes,Vietnam,Striped catfish,FCR,sd,0.028804988190340997
Catfishes,Vietnam,Striped catfish,FCR,ll,1.4913340533361417
Catfishes,Vietnam,Striped catfish,FCR,ul,1.6111992162018112
Catfishes,Vietnam,Striped catfish,FM,mean,6.189061687477263
Catfishes,Vietnam,Striped catfish,FM,sd,0.617770301489468
Catfishes,Vietnam,Striped catfish,FM,ll,3.776224833808663
Catfishes,Vietnam,Striped catfish,FM,ul,6.960430105916899
Catfishes,Vietnam,Striped catfish,FO,mean,0.23945061592857894
Catfishes,Vietnam,Striped catfish,FO,sd,0.16454930563143974
Catfishes,Vietnam,Striped catfish,FO,ll,0.09286475089325305
Catfishes,Vietnam,Striped catfish,FO,ul,3.535842541966357
Catfishes,Viet Nam,Striped catfish,On_Feed,mean,76.88370967741936
Catfishes,Viet Nam,Striped catfish,On_Feed,sd,0.9822737999731231
Catfishes,Viet Nam,Striped catfish,On_Feed,ll,74.74925064303191
Catfishes,Viet Nam,Striped catfish,On_Feed,ul,79.14136397311172
Catfishes,Viet Nam,Striped catfish,FCR,mean,1.522724294117647
Catfishes,Viet Nam,Striped catfish,FCR,sd,0.02716485715356361
Catfishes,Viet Nam,Striped catfish,FCR,ll,1.494153052055125
Catfishes,Viet Nam,Striped catfish,FCR,ul,1.6091717090722852
Catfishes,Viet Nam,Striped catfish,FM,mean,5.862682533521263
Catfishes,Viet Nam,Striped catfish,FM,sd,0.6892440663825886
Catfishes,Viet Nam,Striped catfish,FM,ll,4.0687336601322235
Catfishes,Viet Nam,Striped catfish,FM,ul,7.40601888756292
Catfishes,Viet Nam,Striped catfish,FO,mean,0.21934025038942107
Catfishes,Viet Nam,Striped catfish,FO,sd,0.16527895535662038
Catfishes,Viet Nam,Striped catfish,FO,ll,0.12659304499631238
Catfishes,Viet Nam,Striped catfish,FO,ul,4.490988643036632
Catfishes,United States of America,Striped catfish,On_Feed,mean,76.90406451612903
Catfishes,United States of America,Striped catfish,On_Feed,sd,0.9499101564737421
Catfishes,United States of America,Striped catfish,On_Feed,ll,74.71481904234331
Catfishes,United States of America,Striped catfish,On_Feed,ul,79.16155645392139
Catfishes,United States of America,Striped catfish,FCR,mean,1.522178411764706
Catfishes,United States of America,Striped catfish,FCR,sd,0.0286718827173508
Catfishes,United States of America,Striped catfish,FCR,ll,1.495189141557706
Catfishes,United States of America,Striped catfish,FCR,ul,1.6166889760364218
Catfishes,United States of America,Striped catfish,FM,mean,5.839797669200947
Catfishes,United States of America,Striped catfish,FM,sd,0.6485077171306092
Catfishes,United States of America,Striped catfish,FM,ll,4.3661841804399675
